epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.408,0.83898,2.24064,1.21564,0.67489,0.60797,0.67709,0.51802,0.95846,2.09934,1.38067,0.000410354,0.000410354,0.000410354
2,1230.07,0.91393,1.52636,1.24406,0.71868,0.67665,0.75287,0.50978,1.16379,1.97777,1.62625,0.000786083,0.000786083,0.000786083
3,2338.59,0.95411,1.43103,1.26243,0.77417,0.70566,0.81536,0.56783,0.96697,2.11648,1.43275,0.00112056,0.00112056,0.00112056
4,3793.77,0.96152,1.35011,1.27724,0.81011,0.74378,0.8351,0.60991,1.03322,1.45905,1.50725,0.00106437,0.00106437,0.00106437
5,5562.79,0.94178,1.25786,1.25318,0.71796,0.60936,0.70535,0.47599,1.1483,2.00711,1.61464,0.0010025,0.0010025,0.0010025
6,6328.55,0.90271,1.17003,1.23203,0.81833,0.73739,0.83051,0.60355,0.99018,1.70082,1.42136,0.000940625,0.000940625,0.000940625
7,7137.55,0.86809,1.07937,1.20945,0.83261,0.77677,0.87521,0.64663,1.11808,1.12204,1.67779,0.00087875,0.00087875,0.00087875
8,7947.18,0.88699,1.05911,1.22791,0.78823,0.7518,0.82912,0.59468,1.05511,1.27911,1.50892,0.000816875,0.000816875,0.000816875
9,9585.99,0.81746,0.97361,1.18624,0.79389,0.75239,0.83251,0.64683,0.89023,1.2245,1.30687,0.000755,0.000755,0.000755
10,12441,0.82527,0.91348,1.17626,0.89411,0.8433,0.91247,0.70815,0.93688,0.8644,1.36275,0.000693125,0.000693125,0.000693125
11,14191.2,0.76358,0.9503,1.15733,0.8925,0.8179,0.89667,0.70067,0.92286,0.92428,1.31679,0.00063125,0.00063125,0.00063125
12,626.159,0.71074,0.81675,1.12309,0.84446,0.80468,0.87995,0.68518,0.95036,1.01459,1.3871,0.000569375,0.000569375,0.000569375
13,1542.03,0.69313,0.75191,1.11528,0.87986,0.84649,0.91194,0.71274,0.91391,0.81547,1.3581,0.0005075,0.0005075,0.0005075
14,2595.31,0.66314,0.6863,1.08112,0.90523,0.83513,0.92946,0.7245,0.88569,0.81073,1.3381,0.000445625,0.000445625,0.000445625
15,3204.84,0.64054,0.65365,1.06547,0.92383,0.83548,0.92974,0.73692,0.84869,0.71829,1.28343,0.00038375,0.00038375,0.00038375
16,3827.78,0.61644,0.62293,1.05466,0.92521,0.87309,0.94187,0.76621,0.77929,0.63621,1.20379,0.000321875,0.000321875,0.000321875
17,4445.61,0.58444,0.57123,1.01524,0.94,0.86694,0.93587,0.75714,0.75919,0.66408,1.19714,0.00026,0.00026,0.00026
18,8759.99,0.5797,0.54924,1.02016,0.93795,0.87082,0.93823,0.76166,0.85439,0.63434,1.31383,0.000198125,0.000198125,0.000198125
19,698.603,0.5023,0.49118,0.96517,0.94377,0.85287,0.93936,0.76659,0.7832,0.60229,1.21377,0.00013625,0.00013625,0.00013625
20,1323.61,0.49166,0.46605,0.96612,0.91771,0.8971,0.94088,0.77079,0.78323,0.59916,1.22995,7.4375e-05,7.4375e-05,7.4375e-05
